;Total Volume
7;236696.6
8;223224.74
9;236500.42
10;311363.97
11;267399.38
12;301939.19
13;302808.91
14;319543.98
15;312266.53
16;477301.28
17;326913.34
18;347563.11
19;416694.11
20;327167.52
21;320002.63
22;336366.84
23;348318.4
24;341532.31
25;553640.36
26;333568.95
27;454278.32
28;293811.97
29;448117.51
30;481068.52
31;312532.64
32;512839.94
33;432737.31
34;667818.16
35;533830.62
36;347880.73
37;517277.53
38;349121.77
39;311571.85
40;291755.18
41;479956.1
42;291732.26
43;496972.61
44;296932.11
45;312270.64
46;696369.34
47;329626.92
48;399751.64
49;248039.16
50;413413.58
51;308711.73
0;329493.55
1;336267.19
2;356716.07
3;301329.5
4;279131.45
5;328557.17
6;293852.55
7;269770.44
8;254423.1
9;293380.24
10;335408.43
11;355667.75
12;366233.17
13;366205.45
14;403065.41
15;499659.75
16;488463.75
17;418742.8
18;408490.7
19;415099.81
20;411252.23
21;376353.23
22;389534.59
23;392041.56
24;420054.95
25;427325.17
26;478874.92
27;421529.12
28;426671.94
29;450346.65
30;484287.12
31;459980.05
32;474934.47
33;698601.84
34;478384.72
35;504960.76
36;366448.78
37;346080.71
38;370753.84
39;417870.83
40;543578.3
41;533501.85
42;417688.74
43;419881.8
44;409152.46
45;445228.64
46;675832.78
47;469689.07
48;448784.3
49;492565.69
50;413224.5
51;421093.02
0;1108953.48
1;1236204.18
2;1056806.44
3;1164027.22
4;907516.28
5;1226126.36
6;911367.38
7;734433.2
8;644652.47
9;699711.07
10;831120.57
11;885661.32
12;815711.64
13;811939.65
14;826738.9
15;961997.61
16;1455770.91
17;1024799.73
18;1459911.33
19;1325974.87
20;1522368.93
21;851296.1
22;922526.29
23;864516.85
24;995347.5
25;1069905.64
26;1360168.72
27;1348891.94
28;991221.27
29;1197277.61
30;1342825.39
31;1063411.38
32;1318932.22
33;1489269.33
34;1178000.01
35;1352494.83
36;1166007.02
37;1387970.0
38;1091234.04
39;1423939.62
40;1339528.26
41;1103110.33
42;1442973.47
43;1290021.19
44;1098967.88
45;1209857.67
46;1609195.36
47;1113755.21
48;1016720.53
49;1069974.38
50;1276128.92
51;1092066.65
0;80688.76
1;123555.7
2;84144.99
3;80731.39
4;67448.86
5;85227.73
6;86306.22
7;92657.44
8;86820.55
9;90368.85
10;87503.46
11;89506.29
12;92483.87
13;165178.31
14;91298.63
15;80206.95
16;93887.78
17;89247.85
18;89949.42
19;93415.78
20;97959.55
21;94553.4
22;104420.57
23;113655.96
24;111914.65
25;128114.61
26;110772.26
27;104127.89
28;102412.83
29;111137.97
30;117486.96
31;113857.64
32;165733.74
33;144813.19
34;169483.29
35;109421.34
36;107271.68
37;102684.74
38;87991.76
39;93607.68
40;87881.33
41;91112.78
42;99548.51
43;96483.82
44;84755.36
45;87228.1
46;105805.21
47;88551.72
48;96487.8
49;94971.15
50;110155.55
51;90521.74
0;1449394.65
1;1426470.94
2;1468901.87
3;1676509.02
4;1131932.27
5;1126964.32
6;1187396.84
7;1281023.69
8;1058938.09
9;1179301.18
10;1252399.56
11;1360541.39
12;1352081.51
13;1419113.4
14;1641724.15
15;1697761.29
16;1933628.13
17;1693969.47
18;1693418.62
19;1873446.99
20;1979362.94
21;1716384.76
22;1807152.43
23;1865426.77
24;2028847.18
25;2259572.01
26;2101835.6
27;2559002.86
28;2104834.28
29;2330438.23
30;2265037.77
31;2248726.67
32;2100440.16
33;2664926.82
34;2093998.59
35;2088524.46
36;2114990.64
37;1872378.56
38;1769050.34
39;1740836.89
40;1938247.08
41;2095165.01
42;1734414.9
43;1647189.23
44;1672884.28
45;1790822.72
46;2838853.24
47;1851372.18
48;1261352.88
49;1495176.98
50;1670524.63
51;2171818.57
0;525930.72
1;522499.15
2;923022.14
3;594246.5
4;404389.56
5;455618.12
6;487762.79
7;467433.56
8;407047.88
9;568596.03
10;563725.3
11;598035.57
12;954737.07
13;694289.8
14;603235.38
15;671817.53
16;613058.51
17;621458.42
18;668003.85
19;623628.8
20;659207.94
21;608614.15
22;602085.03
23;612572.73
24;669673.68
25;728681.01
26;662145.29
27;682680.66
28;626226.63
29;942774.69
30;832869.55
31;689730.64
32;884782.05
33;969780.21
34;852118.86
35;714374.65
36;917689.13
37;681434.09
38;806264.89
39;806586.49
40;556500.49
41;750735.4
42;769499.11
43;725928.01
44;823186.03
45;567176.93
46;948838.16
47;674373.81
48;596989.37
49;731385.02
50;731602.32
51;830063.2
0;208041.0
1;197054.39
2;215138.05
3;216077.75
4;175761.18
5;183327.73
6;211408.68
7;215345.69
8;211956.24
9;239744.28
10;247656.68
11;254093.87
12;261886.32
13;255043.21
14;278129.66
15;248257.02
16;287328.36
17;281758.14
18;279090.94
19;295307.02
20;280543.19
21;273951.5
22;279159.58
23;279442.6
24;303559.52
25;307215.96
26;297550.9
27;313757.2
28;298517.24
29;308049.48
30;295356.64
31;288374.18
32;293520.49
33;318524.19
34;326468.57
35;311438.51
36;284896.14
37;274246.43
38;262808.03
39;260487.14
40;288866.22
41;303779.53
42;298087.71
43;281060.42
44;263148.45
45;283960.43
46;403849.99
47;290633.33
48;242512.95
49;272248.84
50;257990.11
51;280335.82
0;176103.25
1;174209.1
2;186495.71
3;183871.72
4;154199.13
5;177112.27
6;177641.28
7;169723.23
8;174400.73
9;178512.86
10;203089.29
11;213460.34
12;229339.1
13;210791.27
14;238848.85
15;240632.37
16;263823.88
17;250434.52
18;236349.68
19;247600.94
20;266174.1
21;245374.63
22;272728.01
23;264253.28
24;296610.12
25;305399.4
26;259281.86
27;278178.65
28;280191.2
29;268775.52
30;274103.16
31;271979.26
32;250352.36
33;334121.64
34;283660.1
35;273208.48
36;251803.25
37;220100.13
38;189989.18
39;233604.1
40;264247.19
41;246110.88
42;255419.61
43;230260.29
44;214625.59
45;254611.93
46;394461.41
47;222414.16
48;272314.29
49;272594.61
50;243704.71
51;235618.91
0;103804.48
1;93106.8
2;113394.91
3;105733.4
4;82819.13
5;99233.86
6;98075.02
7;104169.98
8;105608.34
9;107231.19
10;121791.92
11;118935.46
12;133182.18
13;142130.59
14;144272.73
15;156833.09
16;162357.83
17;155029.38
18;147961.26
19;145313.85
20;142168.01
21;143067.18
22;150126.91
23;144948.27
24;158961.77
25;164583.69
26;141407.11
27;158224.62
28;152148.72
29;151372.89
30;162618.02
31;171189.02
32;141716.2
33;184595.6
34;178487.59
35;164410.77
36;150910.0
37;133381.56
38;113028.45
39;139668.9
40;156283.99
41;139661.75
42;142026.9
43;135623.05
44;115875.65
45;159758.46
46;198011.31
47;121477.84
48;143015.44
49;157618.05
50;143703.88
51;156699.18
0;428247.63
1;384448.27
2;434567.21
3;315955.99
4;279333.62
5;289773.71
6;277735.11
7;266345.33
8;238699.3
9;253163.64
10;330213.06
11;370422.62
12;381992.7
13;420076.53
14;407813.86
15;432472.11
16;472090.23
17;421583.74
18;456755.06
19;512843.34
20;453622.9
21;466095.04
22;450895.76
23;471698.22
24;489099.02
25;565017.74
26;464446.2
27;508036.18
28;501159.1
29;521408.99
30;489338.25
31;488201.43
32;438309.86
33;569710.14
34;481861.11
35;529817.53
36;448082.46
37;459342.82
38;488547.76
39;458899.34
40;404736.39
41;441333.91
42;443386.65
43;439280.11
44;419479.7
45;447945.8
46;796524.48
47;434121.25
48;409324.93
49;437356.64
50;434238.52
51;512117.98
0;473730.19
1;437170.79
2;505122.6
3;499144.04
4;392291.47
5;369682.4
6;353828.79
7;292299.52
8;270941.97
9;366026.91
10;443367.98
11;473046.6
12;534801.53
13;566089.72
14;457197.25
15;498555.72
16;550756.68
17;620041.46
18;578630.39
19;499056.18
20;534955.59
21;522678.71
22;526657.41
23;519567.72
24;604082.24
25;613005.97
26;595917.64
27;573831.3
28;596634.56
29;661159.79
30;576543.05
31;569349.05
32;553706.74
33;649503.23
34;679213.01
35;623486.79
36;621350.28
37;589694.67
38;527115.47
39;615580.7
40;649914.07
41;567953.21
42;627397.71
43;585693.61
44;592197.58
45;595414.77
46;917660.79
47;643326.66
48;564637.66
49;561712.98
50;578610.94
51;719749.77
0;690027.33
1;643518.28
2;655428.34
3;542857.36
4;488378.1
5;510752.32
6;506543.8
7;492504.81
8;477937.8
9;411873.66
10;590535.06
11;673082.26
12;731993.57
13;860546.65
14;813575.88
15;862732.45
16;850104.12
17;812410.86
18;825338.15
19;1114834.28
20;753570.45
21;814505.22
22;817357.28
23;804071.94
24;842731.76
25;891917.15
26;749554.87
27;800921.02
28;770382.05
29;899154.46
30;891069.03
31;817923.28
32;772064.79
33;961334.65
34;1001227.21
35;1017425.89
36;786422.89
37;765652.36
38;849739.84
39;716020.43
40;739577.85
41;714002.3
42;817240.38
43;824092.61
44;799826.02
45;696959.32
46;1355047.15
47;805039.06
48;844417.47
49;732860.83
50;765839.95
51;918798.74
0;475143.56
1;459322.74
2;809403.75
3;531803.4
4;383268.86
5;447760.4
6;472868.46
7;446970.37
8;368056.21
9;619599.06
10;618367.26
11;556874.5
12;917139.67
13;655426.45
14;586212.19
15;644049.31
16;563852.38
17;592604.21
18;605652.82
19;591638.12
20;619209.25
21;595856.48
22;581023.47
23;639853.23
24;628610.41
25;663580.48
26;638550.37
27;677710.31
28;666340.59
29;866343.38
30;771235.53
31;726064.91
32;844349.33
33;1007800.54
34;858037.45
35;752138.28
36;862450.87
37;728447.49
38;793187.83
39;781581.62
40;596110.62
41;712808.08
42;782395.12
43;737516.16
44;755726.36
45;593651.59
46;1040955.47
47;666670.45
48;726078.64
49;788935.31
50;831911.78
51;814295.85
0;308342.51
1;269690.96
2;243555.26
3;304040.1
4;229072.3
5;246915.39
6;255288.43
7;222378.08
8;227993.9
9;260446.46
10;281240.11
11;262764.71
12;301001.94
13;327724.02
14;331549.04
15;341887.56
16;419927.05
17;352297.98
18;381549.32
19;389639.12
20;362625.87
21;344490.91
22;336673.77
23;336050.16
24;389300.41
25;515792.87
26;367778.6
27;451741.89
28;357902.32
29;416168.39
30;441398.16
31;343576.29
32;422276.07
33;504149.45
34;591962.95
35;420066.9
36;370690.55
37;397990.96
38;340564.79
39;315023.95
40;331531.06
41;414943.26
42;325786.78
43;387740.23
44;302654.13
45;342704.71
46;593759.78
47;312455.27
48;317032.31
49;287599.16
50;322434.61
51;319228.46
0;5630041.84
1;5483207.89
2;5031206.93
3;5584114.56
4;4064847.35
5;4150510.67
6;4224677.32
7;4214624.13
8;3733135.22
9;4477594.56
10;4967651.41
11;5416591.81
12;5006659.75
13;5344837.49
14;6130653.55
15;6236078.55
16;6802635.25
17;5775721.7
18;5682046.61
19;5385035.37
20;5647940.41
21;5130900.02
22;5528475.32
23;5449441.63
24;5646460.01
25;6494533.3
26;6046264.46
27;6005535.29
28;6195284.67
29;6351400.69
30;6239677.27
31;6680323.25
32;6728120.77
33;7281887.35
34;6953488.71
35;6893900.54
36;6657073.54
37;6414263.17
38;6154503.04
39;6553308.82
40;6276764.8
41;5894070.33
42;5848140.87
43;5698454.09
44;5108381.41
45;6349601.68
46;7606351.8
47;5850128.4
48;3898235.29
49;5735627.03
50;5647635.02
51;5693942.07
0;3722102.33
1;3413410.59
2;2648135.47
3;3941512.2
4;2408199.34
5;2670425.59
6;2819888.75
7;2590997.85
8;2502552.63
9;2704875.68
10;3233029.42
11;2885138.33
12;3106952.74
13;3266161.45
14;3403999.22
15;3431698.41
16;4804279.06
17;3580022.43
18;3716886.69
19;4230674.67
20;3419326.48
21;3329108.94
22;3381732.73
23;3408142.71
24;3646868.94
25;5432816.58
26;3619364.21
27;4665536.74
28;3393712.37
29;4563745.14
30;4829487.03
31;3416062.07
32;5002102.24
33;4651540.06
34;6415228.14
35;5062464.54
36;3673260.93
37;4792907.32
38;3507226.18
39;3242245.67
40;3304400.62
41;4688502.05
42;3161231.11
43;4740050.22
44;3068786.09
45;3234338.23
46;6847218.72
47;3318109.53
48;3895844.89
49;2913810.18
50;4132191.54
51;3280451.38
0;69054.97
1;78377.53
2;91423.14
3;59510.92
4;49762.2
5;81018.31
6;99460.72
7;61365.68
8;51300.44
9;79477.96
10;68850.22
11;76241.91
12;131585.32
13;86853.6
14;74748.35
15;83096.19
16;83575.85
17;83627.94
18;87249.43
19;83933.43
20;89531.14
21;83902.91
22;82617.47
23;92386.91
24;90750.72
25;97365.48
26;90301.82
27;91554.79
28;93820.2
29;125934.24
30;109604.3
31;100552.55
32;111993.65
33;127403.24
34;116347.79
35;95660.52
36;131734.46
37;103998.99
38;98398.44
39;110616.23
40;83457.56
41;94531.04
42;101869.42
43;92596.44
44;112075.27
45;81626.44
46;154732.54
47;88040.94
48;89537.48
49;100754.26
50;111604.85
51;113049.35
0;132034.47
1;137885.02
2;117572.64
3;118176.43
4;100424.14
5;99930.79
6;128094.25
7;139697.75
8;128966.42
9;184407.0
10;124201.08
11;125599.65
12;140030.37
13;165887.64
14;147517.96
15;182676.07
16;151456.08
17;133188.79
18;184060.51
19;230729.63
20;268010.32
21;214273.18
22;255732.97
23;261737.36
24;314847.96
25;348135.49
26;236899.58
27;254402.94
28;251349.57
29;284148.54
30;245482.03
31;279392.4
32;290603.88
33;263363.51
34;256180.45
35;233320.58
36;197200.66
37;218755.02
38;179484.73
39;156454.78
40;195882.17
41;172598.72
42;185570.14
43;173282.78
44;207338.72
45;165070.79
46;271355.48
47;219443.76
48;167619.96
49;167689.21
50;218460.75
51;213437.44
0;46036.04
1;42029.51
2;41911.21
3;50831.37
4;33757.95
5;38598.98
6;39271.46
7;38868.74
8;33699.68
9;56428.14
10;55053.59
11;69593.63
12;53796.49
13;61352.25
14;55922.25
15;60993.34
16;51792.9
17;71711.83
18;58497.96
19;60212.3
20;60523.63
21;68311.05
22;56952.09
23;66907.33
24;84386.24
25;85205.46
26;84340.47
27;78211.73
28;79669.3
29;80015.17
30;82173.8
31;72636.09
32;71440.0
33;85623.78
34;83407.69
35;68819.0
36;70543.09
37;62892.35
38;58862.37
39;72427.45
40;72560.52
41;71223.95
42;64866.67
43;64336.75
44;65393.08
45;65765.73
46;90935.19
47;70174.79
48;64280.43
49;70134.99
50;57676.73
51;69200.73
0;445441.47
1;412891.05
2;289765.21
3;500795.57
4;265590.66
5;279595.13
6;323761.18
7;284328.38
8;265332.11
9;281815.95
10;371149.3
11;337370.09
12;323324.31
13;349975.92
14;344938.28
15;338518.81
16;560691.13
17;378817.72
18;390053.1
19;452075.68
20;362836.43
21;330277.63
22;353863.19
23;376274.95
24;359346.63
25;613097.67
26;361181.98
27;497270.56
28;311068.54
29;485002.55
30;532427.02
31;327249.29
32;522134.64
33;493628.61
34;741724.85
35;566117.77
36;387923.77
37;549365.61
38;402546.34
39;342762.43
40;326332.48
41;527217.55
42;331997.49
43;569349.05
44;321995.93
45;329879.07
46;822548.66
47;391266.84
48;503528.16
49;304269.38
50;519360.29
51;375548.86
0;30287853.7
1;29583882.61
2;30093540.7
3;31621221.9
4;22923062.65
5;24989702.75
6;24075126.49
7;22534698.38
8;21009730.21
9;24753513.95
10;27707046.82
11;28857581.98
12;29615008.49
13;30305112.89
14;31346091.46
15;34126730.95
16;37130688.91
17;33993931.31
18;33592097.72
19;34386177.3
20;33819909.09
21;31201590.22
22;32339377.09
23;32656123.63
24;35567568.43
25;39993186.04
26;36617023.79
27;38489936.14
28;35580820.0
29;40231259.65
30;40019075.24
31;36958035.51
32;39914996.74
33;46324529.7
34;42867608.54
35;39607695.3
36;37467885.19
37;36584029.39
38;33668450.55
39;35930195.92
40;36335483.78
41;36374516.14
42;35064506.04
43;36801817.68
44;32804733.22
45;36476441.86
46;52288697.89
47;34721249.92
48;32787079.21
49;34426341.87
50;35264336.01
51;38142088.04
0;5720079.58
1;5618429.48
2;6648833.68
3;5919532.49
4;4187550.98
5;4944373.81
6;4864099.95
7;4245702.35
8;3852439.62
9;4760018.22
10;5308225.44
11;5374797.25
12;6079587.47
13;5338132.99
14;5474121.64
15;6097779.55
16;6676702.06
17;6114187.88
18;6290164.89
19;6127060.42
20;6596769.24
21;5463799.79
22;5556043.02
23;5787378.41
24;6487362.71
25;6817643.13
26;6862241.03
27;6964845.92
28;6216040.13
29;7637424.02
30;7568132.39
31;6642111.52
32;7486622.03
33;8706859.44
34;7158300.84
35;6746174.8
36;7592473.98
37;7275842.54
38;6645738.99
39;7081399.02
40;6938294.62
41;6725483.24
42;6903293.0
43;7193896.75
44;7047624.39
45;6774726.47
46;9718438.84
47;6331953.73
48;6118107.22
49;7221572.36
50;7438252.93
51;7707711.9
0;867992.74
1;790789.79
2;776453.82
3;699171.51
4;674184.53
5;670051.41
6;690820.58
7;643630.66
8;474480.97
9;620389.4
10;902725.42
11;732830.17
12;605034.4
13;598623.24
14;749931.49
15;1012039.31
16;863039.15
17;789223.6
18;808012.61
19;798986.84
20;816529.48
21;708243.4
22;797993.91
23;802834.4
24;979053.68
25;1026317.8
26;1028845.61
27;1048148.17
28;916958.75
29;1030392.53
30;985833.89
31;857842.32
32;901217.17
33;1052940.48
34;926205.77
35;859293.22
36;944337.62
37;897755.55
38;776232.98
39;936600.58
40;932377.12
41;886197.95
42;814614.77
43;824072.51
44;840912.75
45;963046.73
46;1198679.87
47;788831.92
48;296402.96
49;712937.27
50;781036.73
51;761760.52
0;113514.42
1;77039.09
2;70677.56
3;92325.53
4;139970.0
5;62977.0
6;97273.0
7;113586.0
8;71076.94
9;69432.23
10;69704.09
11;73574.89
12;55368.61
13;71205.11
14;68539.64
15;80109.29
16;99645.88
17;74297.64
18;75471.56
19;74620.33
20;133070.41
21;92938.17
22;83599.96
23;84416.61
24;102461.61
25;101331.41
26;98282.07
27;89303.04
28;97079.34
29;91949.26
30;84842.97
31;121869.11
32;100256.85
33;96750.67
34;127193.26
35;124926.39
36;89327.1
37;90487.05
38;105436.11
39;92621.11
40;122951.65
41;92774.61
42;95713.29
43;107354.25
44;88371.09
45;95475.07
46;97215.94
47;183549.08
48;95424.59
49;128679.24
50;88526.26
51;91728.18
52;129948.23
0;649352.59
1;444781.87
2;484326.63
3;543619.28
4;504933.0
5;412213.0
6;453755.0
7;518209.0
8;567572.7
9;493921.1
10;406008.95
11;406111.3
12;411520.44
13;421235.13
14;403780.43
15;392935.2
16;466988.83
17;433455.08
18;458036.12
19;475921.53
20;534058.7
21;518140.33
22;472013.29
23;518682.51
24;582068.66
25;507337.7
26;528297.88
27;501274.14
28;492836.43
29;572838.59
30;710038.58
31;523993.71
32;526840.14
33;568923.79
34;726726.65
35;595539.82
36;530030.64
37;543227.58
38;465350.2
39;481933.74
40;443514.95
41;460990.81
42;469277.94
43;511362.62
44;631507.77
45;563018.6
46;666871.06
47;888094.87
48;627695.79
49;755472.09
50;557377.82
51;601546.19
52;547565.88
0;849487.62
1;624268.68
2;628735.17
3;940850.93
4;658939.0
5;629719.0
6;644740.0
7;658693.0
8;736468.07
9;682236.82
10;672066.53
11;667770.44
12;598836.97
13;705451.5
14;676498.82
15;664501.74
16;660103.83
17;671504.54
18;653598.86
19;691636.14
20;697320.96
21;695848.77
22;655426.21
23;692872.87
24;670476.49
25;701869.5
26;672614.37
27;693972.27
28;713471.14
29;744158.66
30;757909.72
31;779183.52
32;750139.67
33;731952.61
34;1097981.24
35;761924.71
36;749186.76
37;717940.19
38;738255.19
39;800801.84
40;739376.32
41;738956.53
42;763783.58
43;880326.29
44;814376.97
45;721257.38
46;925574.66
47;1170444.52
48;781538.81
49;826941.93
50;749510.72
51;1029279.83
52;631760.81
0;79646.97
1;71004.42
2;65090.38
3;85496.29
4;86646.0
5;54681.0
6;60602.0
7;81827.0
8;81104.74
9;68520.83
10;83842.86
11;58062.2
12;56087.36
13;58602.78
14;56671.53
15;65336.49
16;66479.27
17;64354.65
18;93803.53
19;88030.54
20;70716.83
21;73710.09
22;72020.82
23;70783.8
24;72245.09
25;125786.14
26;97408.49
27;95071.28
28;92906.33
29;92547.42
30;98460.27
31;100415.9
32;86532.91
33;94466.25
34;121483.27
35;109119.0
36;93656.08
37;99410.94
38;95508.38
39;94905.4
40;95292.56
41;86727.42
42;112776.1
43;93814.08
44;105023.56
45;107721.63
46;97785.46
47;136090.67
48;105132.82
49;88317.73
50;94156.43
51;103788.25
52;104510.11
0;419696.59
1;414147.94
2;516770.62
3;687251.82
4;488588.0
5;423778.0
6;476236.0
7;639092.0
8;440972.34
9;465106.32
10;435243.72
11;418233.95
12;451608.73
13;482271.83
14;498019.71
15;462796.84
16;524513.26
17;457862.0
18;455915.26
19;474982.44
20;624419.06
21;604758.68
22;568255.53
23;686734.63
24;594015.93
25;560021.69
26;545128.14
27;545889.03
28;581303.33
29;583709.06
30;590580.03
31;602637.88
32;572421.46
33;610348.46
34;676849.88
35;603284.31
36;520793.48
37;592049.78
38;629799.49
39;571902.2
40;550948.58
41;540540.5
42;495117.57
43;620307.93
44;599178.18
45;521125.33
46;791126.41
47;772110.18
48;604106.12
49;663735.14
50;577976.65
51;730358.49
52;458830.49
0;115508.29
1;127375.45
2;108352.42
3;127279.28
4;153282.0
5;102658.0
6;112445.0
7;118434.0
8;115630.87
9;121815.11
10;90910.72
11;86880.78
12;102625.05
13;96291.55
14;121501.78
15;140652.67
16;142196.93
17;135280.49
18;147839.98
19;142109.31
20;144618.71
21;155635.24
22;146069.4
23;148098.37
24;144761.54
25;166851.73
26;144309.09
27;115902.44
28;129734.97
29;114081.68
30;145203.51
31;160484.02
32;139635.02
33;152142.57
34;174746.25
35;178864.17
36;147244.2
37;166089.23
38;172946.22
39;167364.95
40;156787.69
41;151459.46
42;165974.96
43;140468.86
44;122294.43
45;109808.8
46;135286.7
47;188582.23
48;163136.7
49;160924.52
50;168230.55
51;158267.23
52;105349.04
0;7132711.23
1;5346535.57
2;6205211.05
3;5715712.21
4;5544556.0
5;4392810.0
6;4782021.0
7;5637795.0
8;5663438.53
9;5714676.89
10;4420877.4
11;4066640.98
12;4151444.41
13;3870633.16
14;3937000.67
15;4167531.38
16;4380657.13
17;4648718.22
18;4360013.67
19;4524974.68
20;5862368.39
21;5655955.05
22;5571000.96
23;5188483.1
24;5405190.35
25;6499668.48
26;6607292.61
27;6999255.87
28;6599048.85
29;6177216.24
30;6507093.57
31;6160751.92
32;5599003.03
33;6370622.3
34;7872203.23
35;5889669.2
36;5637299.78
37;5442086.44
38;6249182.98
39;5719811.06
40;5073070.91
41;5328958.01
42;5208101.86
43;5634150.07
44;6342089.92
45;6194368.66
46;6862176.64
47;11213596.29
48;8055482.07
49;8153340.48
50;6656554.36
51;6653048.21
52;7175276.66
0;346356.5
1;182537.83
2;189529.04
3;277528.93
4;220837.0
5;170412.0
6;179011.0
7;190445.0
8;187381.18
9;183224.98
10;168237.31
11;175323.3
12;178991.71
13;180280.25
14;186923.93
15;192447.11
16;187822.6
17;200900.91
18;208438.23
19;212479.12
20;209771.02
21;206493.73
22;212607.67
23;215463.51
24;209534.16
25;222027.09
26;224816.41
27;211639.6
28;201837.88
29;224288.57
30;226422.86
31;237363.56
32;227842.05
33;224626.96
34;303551.54
35;235698.79
36;220970.07
37;203220.34
38;201298.91
39;231427.69
40;225271.53
41;206732.76
42;207026.03
43;202553.07
44;241552.96
45;198557.9
46;206762.31
47;359702.04
48;213609.12
49;247754.7
50;196897.85
51;219338.92
52;217051.5
0;1182647.5
1;707646.11
2;620053.78
3;1021445.27
4;654739.0
5;506394.0
6;555872.0
7;541010.0
8;538967.37
9;551605.92
10;519814.03
11;546055.57
12;516320.59
13;537708.81
14;551895.8
15;553215.27
16;590590.1
17;614460.2
18;624618.47
19;674811.14
20;640354.46
21;692140.55
22;735265.55
23;752799.06
24;801887.84
25;880107.48
26;943746.5
27;868770.67
28;862382.95
29;807370.03
30;776194.77
31;781085.77
32;764241.14
33;792532.64
34;976084.98
35;787324.19
36;719367.5
37;742675.28
38;699592.47
39;676300.83
40;656875.03
41;678898.01
42;665364.72
43;680803.2
44;674827.05
45;728402.35
46;874349.55
47;1621253.97
48;830499.38
49;845065.66
50;776820.81
51;822522.24
52;803348.87
0;278128.16
1;159238.4
2;169219.79
3;234296.59
4;302992.0
5;165103.0
6;247158.0
7;324830.0
8;320427.23
9;233003.46
10;181203.19
11;182274.57
12;170365.8
13;183683.68
14;182714.75
15;184434.69
16;210180.81
17;212627.84
18;253876.89
19;307618.14
20;261153.8
21;236484.9
22;213593.1
23;215667.84
24;218147.06
25;255253.55
26;336087.28
27;337211.8
28;281486.15
29;365008.71
30;337444.34
31;303442.79
32;260725.3
33;313988.97
34;538518.77
35;242716.93
36;205401.48
37;261398.15
38;215849.78
39;290569.6
40;221214.93
41;263837.93
42;284997.7
43;272988.49
44;282344.52
45;303146.46
46;320492.68
47;411450.85
48;325944.73
49;380429.31
50;346523.78
51;285027.21
52;329279.29
0;221203.78
1;140322.03
2;162900.37
3;149626.6
4;194796.0
5;126378.0
6;169553.0
7;196433.0
8;222749.35
9;165260.84
10;111491.11
11;109664.86
12;103123.48
13;118344.44
14;120872.81
15;120600.86
16;135633.34
17;127613.24
18;176231.47
19;211279.9
20;151390.04
21;194759.03
22;170792.43
23;137783.13
24;150749.34
25;240071.43
26;276442.3
27;243935.99
28;304247.54
29;181254.11
30;196391.15
31;182566.46
32;180283.53
33;210349.0
34;276421.87
35;199643.4
36;166919.21
37;242720.67
38;225843.95
39;174975.95
40;153513.23
41;136371.39
42;140126.45
43;166169.72
44;186429.24
45;159054.67
46;226525.29
47;323030.81
48;163084.68
49;197072.56
50;200226.42
51;226219.71
52;218881.63
0;1116393.2
1;1060456.59
2;1084068.05
3;1288280.85
4;1199422.0
5;898548.0
6;958421.0
7;1054327.0
8;1142499.74
9;1071345.81
10;1037930.19
11;884631.4
12;919708.71
13;893387.5
14;946384.19
15;982833.04
16;997274.92
17;1043009.46
18;1090966.44
19;1163466.68
20;1263766.23
21;1253537.5
22;1154233.85
23;1197803.17
24;1219892.61
25;1514500.0
26;1378563.61
27;1327166.18
28;1441940.59
29;1361774.87
30;1325912.38
31;1386906.1
32;1291606.06
33;1292071.56
34;1473846.78
35;1407490.7
36;1496361.87
37;1517178.55
38;1337046.52
39;1372247.8
40;1282796.85
41;1153699.28
42;1170640.71
43;1105083.35
44;1372811.19
45;1177312.94
46;1422345.94
47;1772501.55
48;1306293.11
49;1382964.89
50;1389716.89
51;1247488.6
52;1336539.2
0;938481.85
1;675592.64
2;646736.55
3;886841.87
4;849840.0
5;543243.0
6;701022.0
7;847836.0
8;934570.7
9;783939.18
10;638993.72
11;537139.26
12;537932.73
13;605234.66
14;499761.73
15;557213.38
16;585138.06
17;588489.26
18;896083.2
19;877603.13
20;635905.08
21;638888.58
22;787191.53
23;971350.62
24;642837.36
25;951407.12
26;813544.33
27;841763.42
28;890723.2
29;872407.69
30;895594.9
31;835834.41
32;750701.05
33;781305.34
34;904098.6
35;703503.26
36;766941.79
37;813466.54
38;704360.11
39;681540.61
40;630931.96
41;678002.96
42;673601.39
43;639567.49
44;782244.57
45;799071.01
46;821592.06
47;1258952.81
48;887964.38
49;906838.4
50;808771.72
51;844689.96
52;959368.84
0;467584.3
1;298146.18
2;369196.72
3;311949.95
4;515907.0
5;229292.0
6;353938.0
7;432903.0
8;426643.42
9;316276.92
10;230384.71
11;205378.62
12;208300.17
13;215840.47
14;234792.97
15;231672.3
16;251097.79
17;234930.31
18;304000.24
19;388250.81
20;286679.02
21;400745.99
22;339850.04
23;267254.47
24;385966.55
25;502774.82
26;392513.77
27;402914.93
28;668936.01
29;315240.72
30;361513.16
31;361905.98
32;307674.16
33;445350.61
34;625475.58
35;324983.09
36;295788.03
37;342545.94
38;284715.12
39;288639.34
40;289107.02
41;262116.19
42;238211.13
43;383170.95
44;540315.74
45;311270.6
46;475602.7
47;797699.81
48;381506.2
49;616589.93
50;397115.64
51;470643.79
52;480612.79
0;202635.01
1;130735.97
2;162923.49
3;107018.62
4;301527.0
5;96700.0
6;139279.0
7;110784.0
